,client_code,2018-12-31T00:00:00.000000000,2019-01-31T00:00:00.000000000,2019-02-28T00:00:00.000000000,2019-03-31T00:00:00.000000000,2019-04-30T00:00:00.000000000,2019-05-31T00:00:00.000000000,2019-06-30T00:00:00.000000000,2019-07-31T00:00:00.000000000,2019-08-31T00:00:00.000000000,2019-09-01T00:00:00.000000000,2019-10-01T00:00:00.000000000,2019-11-01T00:00:00.000000000,2019-12-01T00:00:00.000000000,2020-01-01T00:00:00.000000000
C114071,C114071,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
C148248,C148248,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1
C147335,C147335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C144656,C144656,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
C146501,C146501,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1
C112778,C112778,,,,,,,,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0
C109648,C109648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119828,C119828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C120466,C120466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C154108,C154108,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
C106302,C106302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C108436,C108436,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0
C115210,C115210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C109625,C109625,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0
C104024,C104024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C144816,C144816,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1
C120317,C120317,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
C147193,C147193,,,,,,,0,0,0,0,0,0,0,0
C107353,C107353,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
C100853,C100853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110581,C110581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C105853,C105853,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
C104263,C104263,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
C116863,C116863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C111645,C111645,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0
C101690,C101690,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C116825,C116825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C113396,C113396,0,0,RETIREMENT,RETIREMENT,RETIREMENT,RETIREMENT,RETIREMENT,RETIREMENT,0,0,0,0,0,0
C103080,C103080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C150712,C150712,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
C117807,C117807,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
C101425,C101425,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
C108358,C108358,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C108647,C108647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110521,C110521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C120672,C120672,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
C118275,C118275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C144713,C144713,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0
C108324,C108324,0,0,0,0,0,0,0,0,0,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT
C102965,C102965,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
C147480,C147480,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,-1
C150867,C150867,,,,,,,,,,,,,0,0
C103915,C103915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C105499,C105499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C104331,C104331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C144196,C144196,,,,,0,0,0,0,-1,-1,-1,-1,-1,-1
C113734,C113734,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,0,0,0,0,0,0
C101460,C101460,0,0,0,0,0,0,0,0,0,HEALTH8,HEALTH8,HEALTH8,-1,-1
C100642,C100642,0,0,0,0,0,0,0,0,0,0,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT
C106372,C106372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C108896,C108896,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1
C146177,C146177,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0
C100714,C100714,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
C100927,C100927,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1
C111291,C111291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C115770,C115770,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
C148530,C148530,,,,,,,,,0,0,0,0,0,0
C103894,C103894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C112754,C112754,HEALTH6,0,0,0,0,0,0,0,0,0,0,0,0,0
C112864,C112864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C116039,C116039,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C113457,C113457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C148306,C148306,,,,,,,,0,0,0,0,0,0,0
C115813,C115813,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0
C110561,C110561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C102089,C102089,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
C101233,C101233,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1
C111184,C111184,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
C117033,C117033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C118318,C118318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100024,C100024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100704,C100704,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0
C101071,C101071,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C143926,C143926,,,,,0,0,0,0,0,0,0,0,0,0
C107494,C107494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C102110,C102110,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,-1,0
C105412,C105412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C118883,C118883,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,0,0,0,0,0,0
C116685,C116685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C105435,C105435,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,0
C110740,C110740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C144532,C144532,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
C119576,C119576,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1
C148918,C148918,,,,,,,,,0,0,0,0,0,0
C103244,C103244,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1
C105408,C105408,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,0,-1
C108147,C108147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C117509,C117509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C101291,C101291,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
C106657,C106657,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0
C116609,C116609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100157,C100157,,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,INVESTMENT,0,0,0,0,0,0,0,0
C109807,C109807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C103209,C103209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C148831,C148831,,,,,,,,,0,0,0,0,0,0
C112469,C112469,0,-1,RETIREMENT,RETIREMENT,RETIREMENT,-1,RETIREMENT,0,0,-1,-1,0,0,0
C151417,C151417,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
C119980,C119980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119748,C119748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C112761,C112761,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0,0
C154413,C154413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C117133,C117133,0,0,0,0,0,HEALTH5,HEALTH5,HEALTH5,HEALTH5,HEALTH5,HEALTH5,0,0,0
C116758,C116758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C117104,C117104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C112152,C112152,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1
C120474,C120474,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
C119293,C119293,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0
C115635,C115635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C103982,C103982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C106962,C106962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C148467,C148467,,,,,,,,,0,0,0,0,0,0
C146113,C146113,,,,,,0,0,0,0,0,-1,-1,-1,-1
C146141,C146141,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0
C117848,C117848,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C111352,C111352,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,HEALTH4/HEALTH8,-1
C102625,C102625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110243,C110243,0,0,RETIREMENT3,-1,RETIREMENT3,RETIREMENT3,-1,RETIREMENT3,0,0,0,-1,0,-1
C148413,C148413,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1
C144131,C144131,,,,,0,0,0,0,0,0,0,0,0,0
C113559,C113559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C115512,C115512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100991,C100991,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH5/HEALTH,HEALTH2/HEALTH5/HEALTH,HEALTH2/HEALTH5,HEALTH2/HEALTH0/HEALTH5,HEALTH2/HEALTH0/HEALTH5,HEALTH2/HEALTH0/HEALTH5,HEALTH2/HEALTH0,HEALTH0,HEALTH0,0
C105838,C105838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C145575,C145575,-1,-1,-1,0,,,,,,,,,,
C100446,C100446,INVESTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0
C105430,C105430,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C116604,C116604,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
C113527,C113527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C106414,C106414,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0
C115215,C115215,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
C112608,C112608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C104066,C104066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C101175,C101175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100464,C100464,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
C118433,C118433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C116018,C116018,0,0,0,0,RETIREMENT5,RETIREMENT5,RETIREMENT5,RETIREMENT5,RETIREMENT5,RETIREMENT5,0,0,0,0
C109731,C109731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100109,C100109,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C104417,C104417,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1
C110257,C110257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C116903,C116903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C115991,C115991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C116206,C116206,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C110175,C110175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119579,C119579,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
C149205,C149205,,,,,,,,,,,0,0,0,0
C104924,C104924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119588,C119588,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1
C111124,C111124,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0
C100980,C100980,0,0,0,0,0,0,0,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,0
C115841,C115841,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
C115183,C115183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C103290,C103290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C107835,C107835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C102095,C102095,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
C109065,C109065,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C100906,C100906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C112799,C112799,HEALTH4,HEALTH4,HEALTH4,HEALTH4,HEALTH4,0,-1,-1,-1,-1,-1,-1,0,0
C104341,C104341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C149022,C149022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
C144900,C144900,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0
C148547,C148547,,,,,,,,,0,0,0,-1,-1,-1
C147330,C147330,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1
C143954,C143954,,,,,0,0,0,0,0,0,0,0,0,0
C147768,C147768,,,,,,,,0,0,0,0,0,0,0
C144662,C144662,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
C145544,C145544,HEALTH8,-1,-1,-1,-1,HEALTH8,0,0,0,0,0,0,0,0
C111583,C111583,,,,0,0,0,0,0,0,0,0,0,0,0
C149652,C149652,,,,,,,,,,,0,0,0,0
C119194,C119194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C146275,C146275,,,,,,0,0,0,0,0,0,0,0,0
C106787,C106787,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0
C120738,C120738,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0
C105705,C105705,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,0
C108068,C108068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C114962,C114962,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C103410,C103410,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
C119350,C119350,0,0,0,0,INVESTMENT8,INVESTMENT8,INVESTMENT8,INVESTMENT8,INVESTMENT8,INVESTMENT8,0,0,0,0
C148116,C148116,,,,,,,,0,0,0,0,0,0,0
C144905,C144905,HEALTH,HEALTH,0,-1,0,0,0,0,-1,0,0,0,0,-1
C118739,C118739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C111632,C111632,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C100081,C100081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C107924,C107924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C146811,C146811,,,,,,,0,0,0,0,0,0,0,0
C104772,C104772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C108511,C108511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C102886,C102886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C120907,C120907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C103237,C103237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C102725,C102725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C146429,C146429,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
C118517,C118517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C101352,C101352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C113555,C113555,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
C120013,C120013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C114195,C114195,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0
C110340,C110340,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
C110800,C110800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C120378,C120378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C101598,C101598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C106995,C106995,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
C108228,C108228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C118437,C118437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C153576,C153576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C110204,C110204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C112260,C112260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C114721,C114721,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0
C143386,C143386,,,0,0,0,0,0,0,0,0,0,0,0,0
C116684,C116684,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C145648,C145648,,INVESTMENT7,INVESTMENT7,INVESTMENT7,INVESTMENT7,0,0,0,0,0,0,0,0,0
C120789,C120789,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C115257,C115257,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
C111024,C111024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C104657,C104657,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
C106072,C106072,0,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,0
C106119,C106119,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,0,0,0,0,0,0,0,0,0
C145379,C145379,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
C109524,C109524,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,-1
C101770,C101770,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,0
C118634,C118634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C105052,C105052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C106077,C106077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C110241,C110241,0,0,0,0,0,-1,-1,RETIREMENT4,RETIREMENT4,-1,-1,RETIREMENT4,0,-1
C114929,C114929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C109153,C109153,HEALTH,HEALTH,HEALTH,0,0,0,0,0,0,0,0,0,0,0
C102316,C102316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C100522,C100522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C101047,C101047,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0
C100449,C100449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119393,C119393,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
C120816,C120816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C148808,C148808,,,,,,,,,0,0,0,0,0,0
C116927,C116927,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
C113198,C113198,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
C115122,C115122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C109771,C109771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C146187,C146187,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
C104966,C104966,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,0
C111388,C111388,0,0,0,0,HEALTH4,HEALTH4,HEALTH4,HEALTH4,HEALTH4,HEALTH4,0,0,0,-1
C102206,C102206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C107641,C107641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C111807,C111807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C117958,C117958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C146046,C146046,,,,,,0,0,0,0,0,-1,-1,-1,-1
C106089,C106089,0,HEALTH,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C111449,C111449,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0
C145719,C145719,,,,,,0,0,0,0,0,0,0,0,0
C151122,C151122,,,,,,,,,,,,,0,0
C108908,C108908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C150219,C150219,,,,,,,,,,,,0,0,0
C116443,C116443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C107858,C107858,-1,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0
C113068,C113068,0,0,0,0,INVESTMENT0,INVESTMENT0,INVESTMENT0,INVESTMENT0,INVESTMENT0,INVESTMENT0,0,0,0,0
C100323,C100323,,0,0,0,0,0,0,0,0,0,0,0,0,0
C101614,C101614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C147291,C147291,,,,,,,0,0,0,0,0,0,0,0
C110706,C110706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C103308,C103308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C104744,C104744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119899,C119899,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
C116535,C116535,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C100814,C100814,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
C116412,C116412,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
C106986,C106986,0,0,0,0,0,,,,,,,,,
C120574,C120574,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
C108612,C108612,0,0,0,0,0,0,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,0,0
C149600,C149600,,,,,,,,,,,0,0,0,0
C144437,C144437,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0
C145414,C145414,0,0,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0
C152699,C152699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C108699,C108699,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0
C101338,C101338,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
C106189,C106189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C104076,C104076,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
C148209,C148209,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
C105979,C105979,0,0,-1,-1,0,0,0,-1,0,-1,-1,-1,-1,-1
C103331,C103331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C112248,C112248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C119402,C119402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C112726,C112726,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
C100461,C100461,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
C145444,C145444,-1,-1,-1,INVESTMENT,INVESTMENT,INVESTMENT,-1,0,-1,-1,-1,-1,-1,-1
C146367,C146367,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1
C108073,C108073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C111698,C111698,-1,-1,-1,-1,0,0,0,-1,0,-1,0,-1,0,-1
C103942,C103942,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0
